,Movie Name,Year_of_Release,Runtime,Rating,Meta Score,Vote
564,,1960,109,8.5,97        ,"30,779"
565,,1954,112,8.5,100        ,"209,215"
566,,1942,102,8.5,100        ,"163,610"
567,,1936,87,8.5,96        ,"400,673"
568,,1931,87,8.5,99        ,"876,753"
569,,2018,126,8.4,75        ,"878,957"
570,,2019,122,8.4,59        ,"406,391"
571,,2017,125,8.4,^^^^^,"1,389,829"
572,,2017,147,8.4,^^^^^,"1,545,898"
573,,2016,106,8.4,79        ,"355,461"
574,,2016,161,8.4,^^^^^,"174,723"
575,,2018,117,8.4,87        ,"1,019,697"
576,,2019,181,8.4,78        ,"365,483"
577,,2018,149,8.4,68        ,"527,192"
578,,I 2017,105,8.4,81        ,"1,145,395"
579,,2012,165,8.4,81        ,"352,758"
580,,2012,164,8.4,78        ,"318,345"
581,,2009,170,8.4,67        ,"897,711"
582,,2007,165,8.4,^^^^^,"917,856"
583,,2008,98,8.4,95        ,"617,452"
584,,2006,137,8.4,89        ,"803,354"
585,,2003,101,8.4,77        ,"36,586"
586,,2000,113,8.4,80        ,"457,460"
587,,1997,134,8.4,76        ,"111,940"
588,,1984,229,8.4,^^^^^,"182,067"
589,,1981,115,8.4,85        ,"205,381"
590,,1980,146,8.4,66        ,"206,931"
591,,1979,147,8.4,94        ,"37,481"
592,,1979,117,8.4,89        ,"461,622"
593,,1963,143,8.4,^^^^^,"31,647"
594,,1964,95,8.4,97        ,"35,544"
595,,1957,116,8.4,^^^^^,"292,608"
596,,1957,88,8.4,90        ,"225,217"
597,,1950,110,8.4,^^^^^,"155,473"
598,,1940,125,8.4,^^^^^,"34,613"
599,,2019,143,8.3,^^^^^,"60,703"
600,,2019,119,8.3,78        ,"80,974"
601,,2018,104,8.3,^^^^^,"1,298,422"
602,,2013,160,8.3,^^^^^,"927,754"
603,,2012,115,8.3,77        ,"713,779"
604,,2011,123,8.3,95        ,"794,716"
605,,2010,131,8.3,80        ,"780,336"
606,,2020,130,8.3,^^^^^,"1,085,186"
607,,I 2020,97,8.3,88        ,
608,,2005,112,8.3,^^^^^,
609,,2009,153,8.3,69        ,
610,,2004,108,8.3,89        ,
611,,2001,122,8.3,69        ,
612,,2000,104,8.3,55        ,
613,,2000,102,8.3,68        ,
614,,1999,122,8.3,84        ,
