,Movie Name,Year_of_Release,Runtime,Rating,Meta Score,Vote
102,,2000,102,8.3,68        ,"1,659,562"
103,,1999,122,8.3,84        ,"79,410"
104,,1994,142,9.3,80        ,"2,357,459"
105,,1994,142,9.3,80        ,"1,153,618"
106,,1994,142,9.3,80        ,"706,532"
107,,1994,142,9.3,80        ,"1,673,368"
108,,1994,142,9.3,80        ,"1,863,472"
109,,1972,175,9.2,100        ,"1,236,925"
110,,2020,153,9.1,^^^^^,"2,115,428"
111,,2008,152,9.0,84        ,"1,893,334"
112,,1974,202,9.0,90        ,"1,694,116"
113,,1957,96,9.0,96        ,"1,852,598"
114,,2003,201,8.9,94        ,"700,680"
115,,1994,154,8.9,94        ,"1,513,229"
116,,1993,195,8.9,94        ,"1,711,520"
117,,2010,148,8.8,74        ,"1,043,165"
118,,1999,139,8.8,66        ,"1,179,423"
119,,2001,178,8.8,92        ,"933,717"
120,,1994,142,8.8,82        ,"609,936"
121,,1966,161,8.8,90        ,"1,560,048"
122,,2002,179,8.7,87        ,"709,564"
123,,1999,136,8.7,73        ,"671,211"
124,,1990,146,8.7,90        ,"1,263,144"
125,,1980,124,8.7,82        ,"1,174,186"
126,,1975,133,8.7,84        ,"637,078"
127,,2019,132,8.6,96        ,"1,477,922"
128,,2014,169,8.6,74        ,"1,299,218"
129,,2002,130,8.6,79        ,"1,251,509"
130,,2001,125,8.6,96        ,"45,082"
131,,1998,169,8.6,91        ,"321,453"
132,,1999,189,8.6,61        ,"412,611"
133,,1997,116,8.6,59        ,"64,661"
134,,1995,127,8.6,65        ,"29,861"
135,,1991,118,8.6,85        ,"739,334"
136,,1977,121,8.6,90        ,"778,836"
137,,1962,133,8.6,85        ,"1,216,358"
138,,1954,207,8.6,98        ,"1,213,608"
139,,1946,130,8.6,89        ,"749,214"
140,,2020,160,8.5,90        ,"1,366,953"
141,,2018,170,8.5,^^^^^,"1,049,717"
142,,2014,106,8.5,88        ,"1,007,995"
143,,2011,112,8.5,57        ,"1,056,737"
144,,2006,130,8.5,66        ,"961,836"
145,,2006,151,8.5,85        ,"1,011,276"
146,,2002,150,8.5,85        ,"236,616"
147,,2000,155,8.5,67        ,"243,202"
148,,1998,119,8.5,62        ,"1,082,486"
149,,1995,106,8.5,77        ,"307,859"
150,,1994,110,8.5,64        ,"615,815"
151,,1994,88,8.5,88        ,"452,292"
152,,1991,137,8.5,75        ,"530,631"
153,,1988,155,8.5,80        ,"222,738"
154,,1988,89,8.5,94        ,"171,178"
155,,1985,116,8.5,87        ,"69,130"
156,,1968,165,8.5,80        ,"1,000,576"
157,,1960,109,8.5,97        ,"35,600"
158,,1954,112,8.5,100        ,"30,779"
159,,1942,102,8.5,100        ,"209,215"
160,,1936,87,8.5,96        ,"163,610"
161,,1931,87,8.5,99        ,"400,673"
162,,2018,126,8.4,75        ,"876,753"
163,,2019,122,8.4,59        ,"878,957"
164,,2017,125,8.4,^^^^^,"406,391"
165,,2017,147,8.4,^^^^^,"1,389,829"
166,,2016,106,8.4,79        ,"1,545,898"
167,,2016,161,8.4,^^^^^,"355,461"
168,,2018,117,8.4,87        ,"174,723"
169,,2019,181,8.4,78        ,"1,019,697"
170,,2018,149,8.4,68        ,"365,483"
171,,I 2017,105,8.4,81        ,"527,192"
172,,2012,165,8.4,81        ,"1,145,395"
173,,2012,164,8.4,78        ,"352,758"
174,,2009,170,8.4,67        ,"318,345"
175,,2007,165,8.4,^^^^^,"897,711"
176,,2008,98,8.4,95        ,"917,856"
177,,2006,137,8.4,89        ,"617,452"
178,,2003,101,8.4,77        ,"803,354"
179,,2000,113,8.4,80        ,"36,586"
180,,1997,134,8.4,76        ,"457,460"
181,,1984,229,8.4,^^^^^,"111,940"
182,,1981,115,8.4,85        ,"182,067"
183,,1980,146,8.4,66        ,"205,381"
184,,1979,147,8.4,94        ,"206,931"
185,,1979,117,8.4,89        ,"37,481"
186,,1963,143,8.4,^^^^^,"461,622"
187,,1964,95,8.4,97        ,"31,647"
188,,1957,116,8.4,^^^^^,"35,544"
189,,1957,88,8.4,90        ,"292,608"
190,,1950,110,8.4,^^^^^,"225,217"
191,,1940,125,8.4,^^^^^,"155,473"
192,,2019,143,8.3,^^^^^,"34,613"
193,,2019,119,8.3,78        ,"60,703"
194,,2018,104,8.3,^^^^^,"80,974"
195,,2013,160,8.3,^^^^^,"1,298,422"
196,,2012,115,8.3,77        ,"927,754"
197,,2011,123,8.3,95        ,"713,779"
198,,2010,131,8.3,80        ,"794,716"
199,,2020,130,8.3,^^^^^,"780,336"
200,,I 2020,97,8.3,88        ,"1,085,186"
201,,2005,112,8.3,^^^^^,"2,395,848"
202,,2009,153,8.3,69        ,"1,659,562"
203,,2004,108,8.3,89        ,"79,410"
204,,2001,122,8.3,69        ,"2,395,848"
205,,2000,104,8.3,55        ,"1,659,562"
206,,2000,102,8.3,68        ,"79,410"
207,,1999,122,8.3,84        ,"2,357,459"
208,,1994,142,9.3,80        ,"1,153,618"
209,,1972,175,9.2,100        ,"706,532"
210,,2020,153,9.1,^^^^^,"1,673,368"
211,,1994,142,9.3,80        ,"1,863,472"
212,,1972,175,9.2,100        ,"1,236,925"
213,,2020,153,9.1,^^^^^,"2,115,428"
214,,2008,152,9.0,84        ,"1,893,334"
215,,1974,202,9.0,90        ,"1,694,116"
